Isabela Correia, (27) 25564-6622, isabela.correia@pucminas.br, Coracao Eucaristico
Daniel Araujo, (71) 70949-1860, daniel.araujo@pucminas.br, Sao Gabriel
Thiago Lima, (79) 42223-5487, thiago.lima@pucminas.br, Contagem
Thiago Reis, (27) 16570-4128, thiago.reis@pucminas.br, Praca da Liberdade
Eloisa Gomes, (45) 52384-8054, eloisa.gomes@pucminas.br, Coracao Eucaristico
Pedro Cardoso, (91) 89705-4622, pedro.cardoso@pucminas.br, Praca da Liberdade
Leticia Pinto, (46) 98695-8027, leticia.pinto@pucminas.br, Pocos de Caldas
Daniel Correia, (56) 79642-1849, daniel.correia@pucminas.br, Praca da Liberdade
Carlos Carvalho, (15) 53719-8407, carlos.carvalho@pucminas.br, Sao Gabriel
Leonardo Freitas, (37) 78369-8383, leonardo.freitas@pucminas.br, Pocos de Caldas
Carlos Souza, (94) 95294-6742, carlos.souza@pucminas.br, Coracao Eucaristico
Rafael Pinto, (46) 53003-4291, rafael.pinto@pucminas.br, Coracao Eucaristico
Luiza Farias, (95) 87935-1360, luiza.farias@pucminas.br, Sao Gabriel
Eloisa Cardoso, (72) 20277-9997, eloisa.cardoso@pucminas.br, Sao Gabriel
Clara Oliveira, (38) 61292-8466, clara.oliveira@pucminas.br, Praca da Liberdade
Vinicius Lima, (58) 51163-4593, vinicius.lima@pucminas.br, Sao Gabriel
Beatriz Pereira, (99) 19855-1513, beatriz.pereira@pucminas.br, Contagem
Leticia Dias, (70) 35272-8668, leticia.dias@pucminas.br, Coracao Eucaristico
Carlos Correia, (72) 44134-2464, carlos.correia@pucminas.br, Betim
Sofia Lima, (89) 68770-3964, sofia.lima@pucminas.br, Betim
Gabriel Santos, (23) 44357-4073, gabriel.santos@pucminas.br, Sao Gabriel
Ana Araujo, (15) 17257-2940, ana.araujo@pucminas.br, Barreiro
Leonardo Oliveira, (31) 91184-4797, leonardo.oliveira@pucminas.br, Pocos de Caldas
Gabriel Reis, (14) 77958-5903, gabriel.reis@pucminas.br, Praca da Liberdade
Thiago Dias, (19) 59264-1753, thiago.dias@pucminas.br, Betim
Luiza Cardoso, (41) 48027-6200, luiza.cardoso@pucminas.br, Barreiro
Leticia Pereira, (97) 90928-2524, leticia.pereira@pucminas.br, Contagem
Larissa Cunha, (46) 20420-8698, larissa.cunha@pucminas.br, Coracao Eucaristico
Matheus Almeida, (99) 47952-2960, matheus.almeida@pucminas.br, Coracao Eucaristico
Luiza Nascimento, (53) 60541-5626, luiza.nascimento@pucminas.br, Praca da Liberdade
Diego Pereira, (81) 39228-5269, diego.pereira@pucminas.br, Betim
Leonardo Rocha, (28) 89919-9691, leonardo.rocha@pucminas.br, Betim
Joana Carvalho, (13) 75894-7649, joana.carvalho@pucminas.br, Sao Gabriel
Manuela Gomes, (54) 30004-9668, manuela.gomes@pucminas.br, Pocos de Caldas
Carlos Cardoso, (63) 34761-3554, carlos.cardoso@pucminas.br, Praca da Liberdade
Larissa Farias, (27) 73764-7992, larissa.farias@pucminas.br, Coracao Eucaristico
Daniel Cardoso, (48) 10937-1534, daniel.cardoso@pucminas.br, Barreiro
Gabriel Almeida, (31) 59476-7877, gabriel.almeida@pucminas.br, Praca da Liberdade
Samuel Dias, (41) 58512-6740, samuel.dias@pucminas.br, Pocos de Caldas
Mariana Correia, (21) 18162-2114, mariana.correia@pucminas.br, Pocos de Caldas
Felipe Fernandes, (58) 44525-4594, felipe.fernandes@pucminas.br, Betim
Sofia Reis, (51) 37995-4523, sofia.reis@pucminas.br, Pocos de Caldas
Mariana Araujo, (80) 22742-9012, mariana.araujo@pucminas.br, Contagem
Sofia Dias, (49) 49264-2360, sofia.dias@pucminas.br, Betim
Rafael Correia, (33) 18930-7815, rafael.correia@pucminas.br, Barreiro
Carlos Reis, (36) 79390-9835, carlos.reis@pucminas.br, Pocos de Caldas
